26	23	89	42
26	23	79	66
26	23	94	100
89	42	89	42
89	42	41	73
89	42	7	74
89	42	32	36
89	42	65	34
58	68	58	68
58	68	97	79
58	68	24	83
77	12	95	14
41	73	7	74
41	73	32	36
41	73	65	34
74	92	24	83
7	74	74	92
7	74	65	34
7	74	94	100
32	36	7	74
32	36	32	36
32	36	54	82
32	36	34	19
65	34	77	12
65	34	100	44
79	66	58	68
79	66	65	34
40	12	26	23
40	12	65	34
40	12	97	79
40	12	24	83
94	100	58	68
94	100	59	88
95	14	74	92
95	14	94	100
95	14	59	88
100	44	41	73
100	44	97	79
97	79	89	42
97	79	94	100
97	79	95	14
97	79	97	79
24	83	77	12
24	83	41	73
24	83	65	34
24	83	100	44
11	66	32	36
11	66	97	79
54	82	89	42
54	82	7	74
54	82	100	44
59	88	11	66
34	19	41	73
34	19	97	79
